ano (uid);ano (nome);local (uid);local (nome);indicador (uid);indicador (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;35;São Paulo;211;169;194;208;176;176;173;180;183;207;195;228;2.300
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;4;Sul;238;203;199;200;205;195;193;216;205;192;196;252;2.494
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;41;Paraná;76;61;54;66;56;57;56;51;49;59;58;73;716
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;42;Santa Catarina;56;50;45;51;47;52;48;64;59;45;43;77;637
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;43;Rio Grande do Sul;106;92;100;83;102;86;89;101;97;88;95;102;1.141
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;5;Centro-Oeste;84;75;82;86;72;66;77;79;72;98;75;74;940
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;50;Mato Grosso do Sul;24;18;24;27;18;13;17;22;14;19;12;22;230
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;51;Mato Grosso;14;9;10;14;5;9;15;14;12;14;13;16;145
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;52;Goiás;37;35;39;35;36;33;36;30;35;51;38;30;435
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;53;Distrito Federal;9;13;9;10;13;11;9;13;11;14;12;6;130
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;1;País;76;Brasil;941;926;929;919;927;879;925;910;962;1.047;1.016;1.052;11.433
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;1;Norte;68;59;75;59;72;72;65;60;71;62;87;76;826
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;11;Rondônia;9;12;11;5;8;7;8;10;8;8;9;8;103
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;12;Acre;3;2;9;10;4;6;5;1;3;3;8;2;56
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;13;Amazonas;10;16;16;20;15;22;14;13;17;11;18;22;194
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;14;Roraima;10;4;4;2;5;3;5;3;8;6;4;5;59
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;15;Pará;25;19;25;15;23;21;21;25;26;21;32;24;277
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;16;Amapá;2;2;4;1;9;2;2;2;3;4;2;3;36
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;17;Tocantins;9;4;6;6;8;11;10;6;6;9;14;12;101
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;2;Nordeste;196;214;211;226;220;247;235;210;225;262;233;243;2.722
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;21;Maranhão;18;20;23;26;33;23;27;19;21;29;26;29;294
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;22;Piauí;19;28;21;30;25;34;22;32;27;36;23;24;321
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;23;Ceará;46;51;31;49;45;47;52;40;52;61;55;61;590
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;24;Rio Grande do Norte;12;10;15;15;14;27;14;14;21;14;10;15;181
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;25;Paraíba;13;13;18;14;19;16;16;17;13;12;19;11;181
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;26;Pernambuco;31;25;44;40;29;26;40;36;24;38;28;35;396
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;27;Alagoas;8;11;7;3;12;11;8;11;13;12;7;9;112
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;28;Sergipe;6;17;5;6;10;11;13;10;8;11;14;4;115
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;29;Bahia;43;39;47;43;33;52;43;31;46;49;51;55;532
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;3;Sudeste;364;349;354;319;340;284;338;355;366;420;360;400;4.249
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;31;Minas Gerais;114;116;93;95;100;113;96;126;98;129;101;121;1.302
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;32;Espírito Santo;7;12;18;11;20;9;14;15;17;23;16;13;175
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;33;Rio de Janeiro;54;46;42;51;58;37;35;35;44;54;62;55;573
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;35;São Paulo;189;175;201;162;162;125;193;179;207;214;181;211;2.199
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;4;Sul;225;225;204;228;203;206;218;201;208;207;242;235;2.602
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;41;Paraná;78;56;54;58;64;50;65;58;62;59;74;82;760
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;42;Santa Catarina;42;63;65;71;48;55;55;55;57;44;65;54;674
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;43;Rio Grande do Sul;105;106;85;99;91;101;98;88;89;104;103;99;1.168
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;5;Centro-Oeste;88;79;85;87;92;70;69;84;92;96;94;98;1.034
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;50;Mato Grosso do Sul;21;18;21;23;17;10;5;23;23;21;20;21;223
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;51;Mato Grosso;16;16;12;13;16;12;12;11;16;20;18;16;178
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;52;Goiás;37;35;35;41;43;36;43;36;42;38;46;49;481
2016;2016;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;53;Distrito Federal;14;10;17;10;16;12;9;14;11;17;10;12;152
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;1;País;76;Brasil;1.059;967;1.055;923;1.029;932;938;1.071;1.135;1.212;1.063;1.111;12.495
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;1;Norte;53;72;80;60;74;75;75;73;70;90;78;96;896
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;11;Rondônia;3;13;10;12;4;10;3;10;15;12;10;11;113
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;12;Acre;2;6;7;4;2;4;6;4;8;6;7;8;64
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;13;Amazonas;11;14;14;14;23;18;22;17;11;16;19;28;207
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;14;Roraima;2;3;4;5;8;5;0;6;6;5;2;4;50
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;15;Pará;21;23;27;18;25;22;28;25;22;33;33;24;301
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;16;Amapá;5;4;3;1;3;8;2;6;1;6;2;5;46
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;17;Tocantins;9;9;15;6;9;8;14;5;7;12;5;16;115
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;2;Nordeste;249;225;266;229;257;222;225;272;256;282;252;246;2.981
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;21;Maranhão;21;13;20;23;36;27;26;38;29;34;28;23;318
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;22;Piauí;21;24;23;28;22;28;29;25;38;19;25;35;317
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;23;Ceará;45;54;58;53;52;47;49;57;58;65;61;45;644
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;24;Rio Grande do Norte;18;9;12;12;22;16;18;10;16;22;12;13;180
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;25;Paraíba;20;18;30;18;25;20;19;21;17;17;20;25;250
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;26;Pernambuco;42;39;40;31;39;34;20;45;32;40;37;39;438
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;27;Alagoas;12;7;9;6;10;3;8;9;7;13;11;9;104
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;28;Sergipe;9;9;13;10;12;4;13;11;10;10;11;15;127
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;29;Bahia;61;52;61;48;39;43;43;56;49;62;47;42;603
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;3;Sudeste;404;373;362;339;380;339;331;394;445;474;384;410;4.635
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;31;Minas Gerais;134;117;124;133;125;105;105;113;159;157;113;130;1.515
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;32;Espírito Santo;18;13;12;14;14;13;11;23;20;36;13;20;207
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;33;Rio de Janeiro;48;35;56;40;59;44;34;50;60;64;53;64;607
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;35;São Paulo;204;208;170;152;182;177;181;208;206;217;205;196;2.306
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;4;Sul;260;223;245;196;226;223;226;236;265;260;247;255;2.862
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;41;Paraná;68;56;68;37;57;55;65;63;89;69;73;74;774
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;42;Santa Catarina;67;54;68;56;56;62;49;57;55;78;71;66;739
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;43;Rio Grande do Sul;125;113;109;103;113;106;112;116;121;113;103;115;1.349
2017;2017;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;5;Centro-Oeste;93;74;102;99;92;73;81;96;99;106;102;104;1.121
